dataset,model,reference,ref_model,delta_accuracy,delta_energy_kwh,joules_per_1pct_acc
amazon,TF-IDF+LOGREG,best_tfidf,TF-IDF+LOGREG,0.0,0.0,inf
amazon,TF-IDF+SVM,best_tfidf,TF-IDF+LOGREG,-9.999999999998899e-05,0.0002740866098623,inf
amazon,TF-IDF+CNB,best_tfidf,TF-IDF+LOGREG,-0.038349999999999995,-1.1492696544499994e-05,inf
amazon,BERT-base,best_tfidf,TF-IDF+LOGREG,0.07145000000000001,0.1988365733686664,100183.5779044365
ag_news,TF-IDF+LOGREG,best_tfidf,TF-IDF+SVM,-0.0015789473684212352,-4.3245807545499976e-05,inf
ag_news,TF-IDF+SVM,best_tfidf,TF-IDF+SVM,0.0,0.0,inf
ag_news,TF-IDF+CNB,best_tfidf,TF-IDF+SVM,-0.017763157894737036,-0.0002018303722227594,inf
ag_news,BERT-base,best_tfidf,TF-IDF+SVM,0.03368421052631565,0.058293594156175105,62301.2787544124
dbpedia,TF-IDF+LOGREG,best_tfidf,TF-IDF+SVM,-0.00038571428571398947,-0.0005113542364492,inf
dbpedia,TF-IDF+SVM,best_tfidf,TF-IDF+SVM,0.0,0.0,inf
dbpedia,TF-IDF+CNB,best_tfidf,TF-IDF+SVM,-0.04062857142857135,-0.0011818106049186,inf
dbpedia,BERT-base,best_tfidf,TF-IDF+SVM,0.013957142857143001,0.2763371656230669,712763.211228374
